Stations_ID; Mess_Datum; Qualitaets_Niveau; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      232;19470603;   5;   24.1;  15.1;   2.7;  955.20;   55.00;-999;   32.3;   14.4;   -999;-999;   0.0;   0;   14.600;   0;eor
      232;19470604;   5;   24.4;  14.8;   4.3;  951.60;   54.00;-999;   32.4;   14.3;   -999;-999;   5.6;   1;   13.800;   0;eor
      232;19470605;   5;   18.0;  13.1;   5.7;  955.80;   63.00;-999;   25.2;   12.7;   -999;-999;   0.3;   1;    7.300;   0;eor
      232;19470606;   5;   10.0;  10.9;   7.7;  953.40;   87.00;-999;   17.2;    8.3;   -999;-999;   9.0;   1;    0.100;   0;eor
      232;19470607;   5;   11.8;   9.5;   7.3;  959.80;   70.00;-999;   15.0;    7.3;   -999;-999;   4.9;   1;    5.800;   0;eor
      232;19470608;   5;   14.0;  12.4;   7.3;  961.90;   78.00;-999;   18.4;    9.8;   -999;-999;  10.7;   1;    6.000;   0;eor
      232;19470609;   5;   11.8;  11.1;   5.7;  963.80;   79.00;-999;   15.6;   10.7;   -999;-999;   2.6;   8;    5.000;   0;eor
      232;19470610;   5;   11.9;   9.7;   4.7;  966.30;   71.00;-999;   15.8;    8.4;   -999;-999;   0.0;   0;    7.000;   0;eor
      232;19470611;   5;   13.6;   9.5;   4.7;  959.60;   66.00;-999;   18.7;    4.9;   -999;-999;   0.0;   0;   14.400;   0;eor
      232;19470612;   5;   14.3;  10.3;   5.0;  953.20;   67.00;-999;   20.6;    5.9;   -999;-999;   0.0;   0;   11.200;   0;eor
      232;19470613;   5;   15.9;  13.9;   7.3;  950.40;   76.00;-999;   21.7;    9.3;   -999;-999;  18.5;   1;    5.500;   0;eor
      232;19470614;   5;   18.4;  13.5;   7.0;  950.60;   67.00;-999;   23.5;   13.3;   -999;-999;   0.0;   0;    6.800;   0;eor
